objectid,title,creator,date,description,subject-tags,file-name,object_location,image_small,image_thumb,type,format,language,rightsstatement,display_template,image-alt-text
ta_case_01_plagiarism,Plagiarism in the Digital Age,fortune,2026,"A student submits a major essay that contains large sections generated by ChatGPT and copied from online sources without proper citation. When confronted, the student says they used only grammarly, or run their work through AI to correct errrors, and enhance academic voice.  How should the TA respond in a developmental rather than purely punitive way?",plagiarism; ai-use; academic-integrity; first-year-writing; citation,ai_generated_vs_voice.png,/objects/ai_generated_vs_voice.png,/objects/small/ai_generated_vs_voice_sm.jpg,/objects/thumbs/ai_generated_vs_voice_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,plagiarism-in-dg
ta_case_02_ai_voice,AI-Generated Content vs. Student Voice,fortune,2026,"During peer review of a personal narrative assignment, the TA notices that one student’s draft is unusually polished and lacks personal voice. The student later admits they used ChatGPT for the entire first draft. The TA must decide how to address AI use while supporting the student’s development of authentic voice.",ai-use; student-voice; personal-narrative; first-year-writing; technology,chronic absences.jpg,/objects/chronic absences.jpg,/objects/small/chronic absences_sm.jpg,/objects/thumbs/chronic absences_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,ai-content-vs-voice
ta_case_03_absences,Chronic Absences and Late Work,fortune,2026,A first-year student has already missed the attendance threshold due to mental health issues and a part-time job or reasons known best to them.They submit strong work when they attend but are now at risk of failing due to ASU’s attendance policy. The student asks for flexibility.,attendance; mental-health; late-work; compassion-vs-policy; first-year-writing,disruptive_technology_use.png,/objects/disruptive_technology_use.png,/objects/small/disruptive_technology_use_sm.jpg,/objects/thumbs/disruptive_technology_use_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,absences-late-work
ta_case_04_multilingual,Multilingual Writer Challenges,fortune,2026,"An international student submits a strong idea-rich draft with significant grammar and syntax issues. The TA is unsure how much to focus on “correctness” versus rhetorical strengths, especially with revision opportunities ahead.",multilingual-writers; grammar-vs-rhetoric; feedback; international-student,feedback.png,/objects/feedback.png,/objects/small/feedback_sm.jpg,/objects/thumbs/feedback_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,miltilingual-challenges
ta_case_05_resistance,Student Resistance to Personal Writing,fortune,2026,"In a literacy narrative assignment, a student refuses to share personal experiences, saying the prompt feels too invasive and “this isn’t therapy.” The TA must respond while maintaining engagement with the assignment goals.",personal-narrative; student-resistance; vulnerability; classroom-dynamics,grade_complaints.png,/objects/grade_complaints.png,/objects/small/grade_complaints_sm.jpg,/objects/thumbs/grade_complaints_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,student-resistance
ta_case_06_tech_disruption,Disruptive Technology Use in Class,fortune,2026,"During peer review and discussion, several students are openly using phones and social media. One student defends it as helping them focus. The TA needs to establish and enforce effective classroom technology norms.",technology-use; classroom-management; engagement; peer-review,group_project_dysfunction.png,/objects/group_project_dysfunction.png,/objects/small/group_project_dysfunction_sm.jpg,/objects/thumbs/group_project_dysfunction_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,technology-use
ta_case_07_grade_complaint,Grade Complaints and Rubric Interpretation,fortune,2026,"A high-achieving student becomes emotional and argumentative about receiving a B+ on a project, claiming the rubric was applied unfairly. The conversation escalates quickly.",grading; rubric; student-complaints; emotional-conversations,multilingual_writer_challenges.jpg,/objects/multilingual_writer_challenges.jpg,/objects/small/multilingual_writer_challenges_sm.jpg,/objects/thumbs/multilingual_writer_challenges_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,grade-complaints
ta_case_08_group_project,Group Project Dysfunction,fortune,2026,"In a collaborative research project, one group member contributes almost nothing while the others do the majority of the work. The group asks the TA to intervene before the final submission",group-work; collaboration; fairness; project-management Arizona State,overwhelmed_students.png,/objects/overwhelmed_students.png,/objects/small/overwhelmed_students_sm.jpg,/objects/thumbs/overwhelmed_students_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,group-project
ta_case_09_time_management,Time Management and Overwhelmed First-Years,fortune,2026,"Many students in the class are juggling jobs, family responsibilities, and a heavy ASU course load. Several miss major deadlines. The TA wants to support them effectively without lowering standards or creating extra workload for themselves",time-management; student-overload; work-life-balance; deadlines; first-year-writing,plagiarism_in_the_digital_age.jpg,/objects/plagiarism_in_the_digital_age.jpg,/objects/small/plagiarism_in_the_digital_age_sm.jpg,/objects/thumbs/plagiarism_in_the_digital_age_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,time-management
ta_case_10_feedback_overload,Feedback Overload vs. Student Agency,fortune,2026,"The TA gives extensive written feedback on student drafts, but many students make minimal revisions and appear overwhelmed. The TA wants to shift toward more process-oriented and metacognitive feedback that encourages student ownership.",feedback; student-agency; metacognition; revision-process; first-year-writing,resistance_to_personal_narrative.jpg,/objects/resistance_to_personal_narrative.jpg,/objects/small/resistance_to_personal_narrative_sm.jpg,/objects/thumbs/resistance_to_personal_narrative_th.jpg,Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,image,feedack-agency
